Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Line_Item,Amount_A,Amount_B,Amount_C
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F,2,5827.40,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F,3,-8337.90,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,B1,1,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,B1,2,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,B1,3,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,H,1,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,H,2,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,H,3,0.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,1,8264.40,49121.50,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,2,0.00,0.00,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,3,8264.40,49121.50,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,4,157.44,157.44,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,5,8421.84,49278.94,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,6,7248.39,43822.80,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,7,0.00,0.00,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,8,7248.39,43822.80,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,9,-432.18,1507.50,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,10,157.44,157.44,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,11,6973.65,45487.74,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,12,14545.54,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,13,8264.40,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,14,1.33,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,15,7248.39,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,16,15562.88,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,17,0.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,18,0.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F460,19,1507.50,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,A,1,8264.40,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,A,2,0.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,A,3,8264.40,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,C,1,157.44,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,C,2,0.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,C,3,157.44,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,I,1,0.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,I,2,1.33,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,I,3,0.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,I,4,1.33,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,D,1,2100.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,D,2,0.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,D,3,2100.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,E,1,7248.39,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,E,2,0.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,E,3,0.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,E,4,7248.39,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F,1,-123.94,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F,2,308.24,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,F,3,-432.18,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,B1,1,0.00,,
980947,Association of Retired San Jose Police Officers and Firefighters Political Action Committee,000,RCP,41840,41777,41820,,,,SMRY,B1,2,0.00,,
